ebay_id,title,location,condition,artist,release_year,image_url,sleeve_grading,record_grading,sold_date,sold,shipping_cost,image_file,label
404946678122.0,Vtg Fleetwood Mac - Rumours Vinyl Record LP & Lyrics Insert Warner BSK3010 -1977,"Located in: Henderson, North Carolina, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,1977,https://i.ebayimg.com/images/g/8KoAAOSwEFpmLZ53/s-l500.webp,,,,19.9,4.87,8KoAAOSwEFpmLZ53_s-l500.webp,Fleetwood Mac
226125201733.0,Fleetwood Mac - Rumours - 1977 - Warner Bros BSK 3010 W/Poster DiscVG+,"Located in: Keyport, New Jersey, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,"Fleetwood Mac, Lindsey Buckingham, Stevie Nicks",1977,https://i.ebayimg.com/images/g/u0cAAOSwGdJmM89m/s-l500.webp,Good Plus (G+),Very Good Plus (VG+),,13.5,4.85,u0cAAOSwGdJmM89m_s-l500.webp,Fleetwood Mac
395138741924.0,"Barry White Vinyl Record Lot - Can't Get Enough, So Much to Give, Say I Love You","Located in: Merrimack, New Hampshire, United States",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,"BEATLES, Barry White",,https://i.ebayimg.com/images/g/rVIAAOSwE1NlptSv/s-l500.webp,,,,49.99,,rVIAAOSwE1NlptSv_s-l500.webp,Non Searched
166738567018.0,FLEETWOOD MAC - Rumours - Vinyl L.P Warner Brothers 1977 BSK 3010 With Insert,"Located in: Saint Louis, Missouri, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,1977,https://i.ebayimg.com/images/g/zK0AAOSwEFpmJj0Q/s-l500.webp,Very Good (VG),Good Plus (G+),"May 06, 2024 16:11:12 PDT",16.0,5.5,zK0AAOSwEFpmJj0Q_s-l500.webp,Fleetwood Mac
204729988560.0,CREAM ERIC CLAPTON LP VINYL LOT ORIGINAL LAYLA DISRAELI GEARS HISTORY OF,"Located in: Patchogue, New York, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,"Cream, Eric Clapton, Derek and the Dominos",,https://i.ebayimg.com/images/g/KSYAAOSwmb1mEZZh/s-l1600.webp,Very Good Plus (VG+),Excellent (EX),"Apr 11, 2024 17:02:23 PDT",41.0,5.61,KSYAAOSwmb1mEZZh_s-l1600.webp,Non Searched
315333047891.0,"Fleetwood Mac "" Rumors "" Vinyl 12"" LP 2009 Reissue Reprise Records 517786-1","Located in: Birmingham, Alabama, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,2009,https://i.ebayimg.com/images/g/5ocAAOSwilxmMV~O/s-l1600.webp,Very Good Plus (VG+),Very Good Plus (VG+),"May 07, 2024 20:02:01 PDT",29.0,4.13,5ocAAOSwilxmMV~O_s-l1600.webp,Fleetwood Mac
335039609545.0,FLEETWOOD MAC - RUMOURS - WARNER BROS RECORDS LP,"Located in: Cleveland, Ohio, United States",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,,https://i.ebayimg.com/images/g/czIAAOSwC2xlDQ1-/s-l500.webp,Very Good Plus (VG+),Excellent (EX),,24.5,4.0,czIAAOSwC2xlDQ1-_s-l500.webp,Fleetwood Mac
315287786575.0,cream disraeli gears vinyl lp ex condition 1967 mono 1st press,"Located in: Colchester, United Kingdom",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Cream,1967,https://i.ebayimg.com/images/g/xO0AAOSwQA9mGDCo/s-l1600.webp,Excellent (EX),Excellent (EX),,29.99,17.0,xO0AAOSwQA9mGDCo_s-l1600.webp,Cream
375418097840.0,Fleetwood Mac – Rumours- 1977 Warner Bros. Records BSK 3010 Rock Vinyl LP VG/VG+,"Located in: Luther, Oklahoma, United States",Used: An item that has been used previously. See the seller’s listing for full details and ...  Read moreabout the conditionUsed: An item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,Fleetwood Mac,1977,https://i.ebayimg.com/images/g/NQ4AAOSwWp5mO35B/s-l500.webp,Very Good Plus (VG+),Very Good (VG),,21.0,4.13,NQ4AAOSwWp5mO35B_s-l500.webp,Fleetwood Mac
335372212421.0,BEATLES ABBEY ROAD APPLE AP8815 JAPAN VINYL LP,"Located in: Shibuya, Tokyo, Japan",UsedAn item that has been used previously. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab,BEATLES,,https://i.ebayimg.com/images/g/7XMAAOSwZRtmMMZs/s-l1600.webp,E-,E-,"May 08, 2024 18:06:08 PDT",7.5,18.0,7XMAAOSwZRtmMMZs_s-l1600.webp,Beatles
